head_of_department_code,head_of_account,head_of_account_description,detail_head,detail_head_description,plan_code,voted_charged,year,value,
501,345100090AB,Agriculture and Farmers Welfare Department,30101,Pay,SE,Voted,2021-2022,96453,
501,345100090AB,Agriculture and Farmers Welfare Department,30102,Medical Allowance,SE,Voted,2021-2022,485,
501,345100090AB,Agriculture and Farmers Welfare Department,30103,Medical Charges,SE,Voted,2021-2022,296,
501,345100090AB,Agriculture and Farmers Welfare Department,30104,Other Allowances,SE,Voted,2021-2022,959,
501,345100090AB,Agriculture and Farmers Welfare Department,30106,House Rent Allowance,SE,Voted,2021-2022,11080,
501,345100090AB,Agriculture and Farmers Welfare Department,30107,Travel Concession,SE,Voted,2021-2022,0,
501,345100090AB,Agriculture and Farmers Welfare Department,30108,City Compensatory Allowance,SE,Voted,2021-2022,1771,
501,345100090AB,Agriculture and Farmers Welfare Department,30301,Dearness Allowance,SE,Voted,2021-2022,18995,
501,345100090AB,Agriculture and Farmers Welfare Department,30401,Tour Travelling Allowances,SE,Voted,2021-2022,184,
501,345100090AB,Agriculture and Farmers Welfare Department,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
501,345100090AB,Agriculture and Farmers Welfare Department,30501,Telephone Charges,SE,Voted,2021-2022,95,
501,345100090AB,Agriculture and Farmers Welfare Department,30502,Other Contingencies,SE,Voted,2021-2022,1025,
501,345100090AB,Agriculture and Farmers Welfare Department,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,150,
501,345100090AB,Agriculture and Farmers Welfare Department,31901,Purchase,SE,Voted,2021-2022,0,
501,345100090AB,Agriculture and Farmers Welfare Department,31903,Maintenance,SE,Voted,2021-2022,53,
501,345100090AB,Agriculture and Farmers Welfare Department,32101,Purchase,SE,Voted,2021-2022,0,
501,345100090AB,Agriculture and Farmers Welfare Department,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,18,
501,345100090AB,Agriculture and Farmers Welfare Department,33301,Pleaders Fees,SE,Voted,2021-2022,622,
501,345100090AB,Agriculture and Farmers Welfare Department,33304,Contract Payment,SE,Voted,2021-2022,0,
501,345100090AB,Agriculture and Farmers Welfare Department,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,168,
501,345100090AB,Agriculture and Farmers Welfare Department,34901,Festival Advances-Debit,SE,Voted,2021-2022,960,
501,345100090AB,Agriculture and Farmers Welfare Department,34902,Festival Advances-Credit,SE,Voted,2021-2022,-940,
501,345100090AB,Agriculture and Farmers Welfare Department,35901,Prizes and Awards,SE,Voted,2021-2022,4,
501,345100090AB,Agriculture and Farmers Welfare Department,37602,Maintenance,SE,Voted,2021-2022,254,
501,345100090AB,Agriculture and Farmers Welfare Department,37603,Stationery,SE,Voted,2021-2022,393,
501,345100090AP,Grants for Unforeseen Expenditure provided to Secretaries to Government,39901,Miscellaneous,SE,Voted,2021-2022,0,
501,761000201AI,Loans to Secretariat Employees for construction of houses - Agriculture and Farmers Welfare Department,50201,Bearing Interest,SE,Voted,2021-2022,7568,
502,205901053AW,Buildings - Agriculture Department (Administered by Chief Engineer (Buildings)),31801,Periodical Maintenance,SE,Voted,2021-2022,19975,
502,240100001AA,Agriculture Department - Headquarters Staff,30101,Pay,SE,Voted,2021-2022,137778,
502,240100001AA,Agriculture Department - Headquarters Staff,30102,Medical Allowance,SE,Voted,2021-2022,1068,
502,240100001AA,Agriculture Department - Headquarters Staff,30103,Medical Charges,SE,Voted,2021-2022,406,
502,240100001AA,Agriculture Department - Headquarters Staff,30104,Other Allowances,SE,Voted,2021-2022,1186,
502,240100001AA,Agriculture Department - Headquarters Staff,30106,House Rent Allowance,SE,Voted,2021-2022,15555,
