year,name,country_of_birth,description,count,annotation_flag,annotation_dx,annotation_dy
2022,Heidi Crowter,United Kingdom,Disability campaigner,103,0,0,0
2022,Moud Goba,United Kingdom,LGBTQ+ activist,103,0,0,0
2022,Jebina Yasmin Islam,United Kingdom,UK campaigner for women's safety,103,0,0,0
2021,Natasha Asghar,United Kingdom,Member of the Welsh Senedd,103,0,0,0
2021,Jos Boys,United Kingdom,Architect,103,0,0,0
2021,Baroness Helena Kennedy QC,United Kingdom,Director - International Bar Association's Human Rights Institute,103,0,0,0
2021,Soma Sara,United Kingdom,Founder - Everyone’s Invited,103,0,0,0
2021,Mina Smallman,United Kingdom,Priest and educator,103,0,0,0
2020,Elizabeth Anionwu,United Kingdom,Sickle cell and thalassaemia nurse specialist,103,0,0,0
2020,Diana Barran,United Kingdom,Minister for Civil Society,103,0,0,0
2020,Shani Dhanda,United Kingdom,Disability activist,103,0,0,0
2020,Naomi Dickson,United Kingdom,Advocate for Jewish women and children suffering from domestic abuse,103,0,0,0
2020,Siouxsie Wiles,United Kingdom,Scientist and public health communicator,103,0,0,0
2020,Sarah Gilbert,United Kingdom,Scientist developing COVID-19 vaccine,103,0,0,0
2020,Jackie Kay,United Kingdom,"Writer, national poet of Scotland",103,0,0,0
2020,Lucy Monaghan,United Kingdom,Campaigner against sexual violence,103,0,0,0
2020,Elin Williams,United Kingdom,Disability rights activist,103,0,0,0
2019,Dina Asher-Smith,United Kingdom,Fastest woman in British history,103,0,0,0
2019,Scarlett Curtis,United Kingdom,Co-founder of The Pink Protest,103,0,0,0
2019,Ella Daish,United Kingdom,Environmentalist and anti-plastic campaigner,103,0,0,0
2019,Sharan Dhaliwal,United Kingdom,"Writer and advocate for mental and sexual health for young South Asians, and LGBTQ rights",103,0,0,0
2019,Bethany Firth,United Kingdom,Paralympic swimmer,103,0,0,0
2019,Lauren Mahon,United Kingdom,Cancer survivor and podcaster,103,0,0,0
2019,Gina Martin,United Kingdom,Campaigner to make upskirting illegal in England and Wales,103,0,0,0
2019,Sarah Martins Da Silva,United Kingdom,Fertility researcher,103,0,0,0
2019,Onjali Q. Raúf,United Kingdom,Writer and founder of Making Herstory,103,0,0,0
2018,Judith Balcazar,United Kingdom,Fashion designer and co-founder of Giggle Knickers (underwear for women with urinary incontinence),103,0,0,0
2018,Barbara Burton,United Kingdom,"Founder and CEO of BehindBras, a charity that supports women prison leavers",103,0,0,0
2018,Chidera Eggerue,United Kingdom,"""The Slumflower"" blogger",103,0,0,0
2018,Nicole Evans,United Kingdom,Early menopause,103,0,0,0
2018,Jameela Jamil,United Kingdom,British actor who founded @i-weigh,103,1,-25,-48
2018,Liz Johnson,United Kingdom,"Paralympian gold medal swimmer and entrepreneur, with a recruitment agency aiming to close the disability employment gap",103,0,0,0
2018,Lisa McGee,United Kingdom,Northern Irish playwright and the writer and creator of Derry Girls,103,0,0,0
2018,Kirsty McGurrell,United Kingdom,"Charity co-ordinator of 4Louis, providing memory boxes for bereaved parents of stillborn babies",103,0,0,0
2018,Becki Meakin,United Kingdom,"General manager of Shaping Our Lives, advocate for people with disabilities",103,0,0,0
